start_ts,weather_conditions,duration_seconds
11/11/2017 6:00,Good,1380
11/11/2017 18:00,Good,2460
4/11/2017 19:00,Good,1602
25/11/2017 7:00,Good,1409
25/11/2017 13:00,Good,1740
11/11/2017 17:00,Good,2460
11/11/2017 6:00,Good,1310
18/11/2017 7:00,Bad,1594
11/11/2017 14:00,Good,2412
11/11/2017 17:00,Good,2193
11/11/2017 9:00,Good,1874
18/11/2017 15:00,Good,2983
4/11/2017 14:00,Good,3540
11/11/2017 14:00,Good,2340
11/11/2017 7:00,Good,1200
25/11/2017 19:00,Good,2280
11/11/2017 11:00,Good,1380
11/11/2017 16:00,Good,2760
18/11/2017 15:00,Good,3000
18/11/2017 13:00,Bad,2700
4/11/2017 12:00,Good,3000
18/11/2017 13:00,Bad,3480
4/11/2017 17:00,Bad,2040
18/11/2017 10:00,Bad,1680
11/11/2017 14:00,Good,2280
4/11/2017 13:00,Good,2820
18/11/2017 12:00,Bad,2880
4/11/2017 16:00,Bad,2280
11/11/2017 15:00,Good,2285
11/11/2017 5:00,Good,1301
18/11/2017 12:00,Bad,3480
18/11/2017 16:00,Bad,2940
18/11/2017 16:00,Bad,2760
18/11/2017 10:00,Bad,1260
11/11/2017 11:00,Good,1736
11/11/2017 12:00,Good,2351
11/11/2017 16:00,Good,2220
11/11/2017 14:00,Good,2733
4/11/2017 17:00,Bad,2040
11/11/2017 17:00,Good,2100
4/11/2017 12:00,Good,2460
18/11/2017 13:00,Bad,2460
4/11/2017 14:00,Good,3510
4/11/2017 13:00,Good,2460
11/11/2017 16:00,Good,2560
11/11/2017 14:00,Good,2040
11/11/2017 6:00,Good,1277
4/11/2017 20:00,Good,2220
18/11/2017 14:00,Good,2760
4/11/2017 14:00,Good,3286
11/11/2017 15:00,Good,2800
11/11/2017 5:00,Good,1362
4/11/2017 12:00,Good,2577
4/11/2017 14:00,Good,3261
4/11/2017 17:00,Bad,2580
4/11/2017 9:00,Good,1878
4/11/2017 10:00,Good,2697
4/11/2017 15:00,Good,3351
25/11/2017 9:00,Good,1513
18/11/2017 6:00,Good,1260
18/11/2017 8:00,Bad,1500
4/11/2017 11:00,Good,1800
11/11/2017 6:00,Good,1395
18/11/2017 5:00,Good,1977
4/11/2017 6:00,Good,1620
18/11/2017 8:00,Bad,1740
25/11/2017 10:00,Good,1440
18/11/2017 12:00,Bad,2220
18/11/2017 17:00,Bad,2133
18/11/2017 16:00,Bad,3240
4/11/2017 11:00,Good,2895
11/11/2017 6:00,Good,1380
11/11/2017 12:00,Good,2122
11/11/2017 10:00,Good,1432
11/11/2017 16:00,Good,2427
4/11/2017 12:00,Good,2700
11/11/2017 12:00,Good,1860
4/11/2017 5:00,Good,1200
18/11/2017 11:00,Good,1980
18/11/2017 6:00,Good,1500
4/11/2017 10:00,Good,1980
4/11/2017 14:00,Good,3059
11/11/2017 11:00,Good,1832
4/11/2017 8:00,Good,1757
4/11/2017 15:00,Good,3396
18/11/2017 12:00,Bad,3461
4/11/2017 10:00,Good,2333
11/11/2017 13:00,Good,2103
4/11/2017 1:00,Good,0
11/11/2017 12:00,Good,2330
25/11/2017 16:00,Good,2563
11/11/2017 7:00,Good,1203
4/11/2017 16:00,Bad,2761
11/11/2017 12:00,Good,2029
4/11/2017 6:00,Good,1351
11/11/2017 14:00,Good,2640
11/11/2017 6:00,Good,1380
4/11/2017 7:00,Good,1260
4/11/2017 10:00,Good,1975
11/11/2017 6:00,Good,1200
11/11/2017 5:00,Good,1296
4/11/2017 4:00,Good,1440
11/11/2017 8:00,Good,1440
11/11/2017 12:00,Good,2133
18/11/2017 12:00,Bad,2580
18/11/2017 15:00,Good,2889
4/11/2017 8:00,Good,1800
18/11/2017 10:00,Bad,2280
25/11/2017 17:00,Good,2340
18/11/2017 7:00,Bad,1380
4/11/2017 11:00,Good,2531
11/11/2017 8:00,Good,1500
4/11/2017 18:00,Bad,2280
4/11/2017 17:00,Bad,2580
11/11/2017 14:00,Good,3614
18/11/2017 14:00,Good,2722
4/11/2017 13:00,Good,3420
11/11/2017 8:00,Good,1320
4/11/2017 17:00,Bad,2330
11/11/2017 16:00,Good,4980
11/11/2017 7:00,Good,1320
18/11/2017 6:00,Good,1800
18/11/2017 8:00,Bad,1620
4/11/2017 14:00,Good,3240
4/11/2017 18:00,Bad,2580
18/11/2017 12:00,Bad,2606
4/11/2017 12:00,Good,2460
18/11/2017 14:00,Good,2825
11/11/2017 10:00,Good,1622
11/11/2017 12:00,Good,2015
11/11/2017 8:00,Good,1417
4/11/2017 12:00,Good,3420
11/11/2017 15:00,Good,2280
4/11/2017 6:00,Good,1282
11/11/2017 15:00,Good,3094
4/11/2017 16:00,Bad,3180
4/11/2017 12:00,Good,2520
25/11/2017 3:00,Good,1374
11/11/2017 16:00,Good,2220
11/11/2017 8:00,Good,1140
18/11/2017 14:00,Good,2757
4/11/2017 15:00,Good,3420
18/11/2017 10:00,Bad,1260
11/11/2017 16:00,Good,2213
11/11/2017 9:00,Good,1344
11/11/2017 7:00,Good,1243
